model,hp
WORKMASTER25,25
WORKMASTER25S,25
WORKMASTER35,35
WORKMASTER40,40
WORKMASTER50,53
WORKMASTER55,54
WORKMASTER60,60
WORKMASTER65,64
WORKMASTER70,70
WORKMASTER75,74
WORKMASTER95,97
WORKMASTER105,112
WORKMASTER120,120
BOOMER35,35
BOOMER40,40
BOOMER45,45
BOOMER50,50
BOOMER55,55
BOOMER45D,45
BOOMER46D,46
BOOMER50D,50
BOOMER54D,54
BOOMER24,24
POWERSTAR65,64
POWERSTAR75,74
POWERSTAR90,86
POWERSTAR100,99
POWERSTAR110,107
POWERSTAR120,120
T5.95,98
T5.105,106
T5.115,114
T6.145,116
T6.155,116
T6.165,135
T6.175,145
T6.180,145
T7.175,140
T7.190,150
T7.210,165
T7.230,180
T7.245,200
T7.260,215
T7.270,228
T8.320,250
T8.350,280
SA221,22
SA324,24
SA424,24
YT235,35
YT359,60
YM342,40
YM359,60